reporting_profile,development_stage,rank_ready_policy,calibration_policy,financial_component_policy,minimum_financial_confidence,review_reason
SEC_XBRL_US_GAAP,operating,eligible_if_all_stage_gates_pass,eligible_if_pit_history_and_forward_return_available,full_fundamental_components_allowed,0.60,
SEC_XBRL_IFRS,operating,eligible_if_all_stage_gates_pass,eligible_if_pit_history_and_forward_return_available,full_fundamental_components_allowed,0.55,
SEC_XBRL_US_GAAP,development_stage,eligible_if_lifecycle_stage_gates_pass,eligible_if_pit_history_and_forward_return_available,development_stage_components_with_valid_fundamentals_only,0.50,development_stage_lifecycle_gate_required
SEC_XBRL_IFRS,development_stage,eligible_if_lifecycle_stage_gates_pass,eligible_if_pit_history_and_forward_return_available,development_stage_components_with_valid_fundamentals_only,0.45,development_stage_lifecycle_gate_required
SEC_XBRL_US_GAAP_PARTIAL,operating,review_until_required_component_coverage_passes,not_eligible_until_component_coverage_passes,partial_components_only_no_full_quality_or_valuation,0.45,partial_xbrl_component_limited
SEC_XBRL_IFRS_PARTIAL,operating,review_until_required_component_coverage_passes,not_eligible_until_component_coverage_passes,partial_components_only_no_full_quality_or_valuation,0.40,partial_ifrs_component_limited
SEC_XBRL_US_GAAP_PARTIAL,development_stage,eligible_if_lifecycle_and_component_gates_pass,not_eligible_until_component_coverage_passes,development_stage_partial_components_only,0.35,development_stage_partial_xbrl_component_limited
SEC_XBRL_IFRS_PARTIAL,development_stage,eligible_if_lifecycle_and_component_gates_pass,not_eligible_until_component_coverage_passes,development_stage_partial_components_only,0.30,development_stage_partial_ifrs_component_limited
SEC_RAW_ARCHIVE_REQUIRED,any,not_rank_ready_until_archive_parser_loads_core_facts,not_eligible_until_archive_parser_loads_pit_facts,neutral_low_confidence_no_fundamental_components,0.00,raw_sec_archive_required
RECENT_IPO_DEVELOPMENT_STAGE,development_stage,not_rank_ready_until_min_trading_days_and_public_filings,not_eligible_until_oos_history_available,development_stage_market_only_until_filings_loaded,0.00,recent_ipo_limited_public_filing_history
PARENT_SEGMENT_NO_STANDALONE_SEC,any,not_rank_ready_without_approved_parent_segment_model,not_eligible_without_approved_segment_history,parent_segment_neutral_only,0.00,parent_segment_no_standalone_sec
NON_FILING_OR_PENDING_REPORTING,any,not_rank_ready_until_public_reporting_available,not_eligible_until_public_reporting_history_available,neutral_low_confidence_no_fundamental_components,0.00,non_filing_or_pending_reporting
PRIVATE_EXCLUDE,any,excluded,excluded,no_scoring_components,0.00,private_company_no_public_sec_financials
SEC_20F_METADATA_ONLY,any,review_until_vendor_or_ifrs_fallback_loaded,not_eligible_until_pit_vendor_or_ifrs_history_available,foreign_metadata_neutral_only,0.00,foreign_issuer_without_mapped_core_xbrl
FOREIGN_NEUTRAL_LOW_CONFIDENCE,any,review_until_vendor_or_ifrs_fallback_loaded,not_eligible_until_pit_vendor_or_ifrs_history_available,foreign_metadata_neutral_only,0.00,foreign_issuer_no_usable_sec_xbrl
NO_FINANCIALS_REVIEW,any,not_rank_ready_until_financials_resolved,not_eligible_until_financials_resolved,neutral_low_confidence_no_fundamental_components,0.00,no_usable_financial_facts
